Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Courtney Lee (12084676),Courtney Lee,12084676,SG/SF/F/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,9.2
PF/C,Kristaps Porzingis (12084681),Kristaps Porzingis,12084681,PF/C/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,0
SG/SF,Justin Jackson (12084685),Justin Jackson,12084685,SG/SF/F/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,13.37
PG/SG,Daryl Macon (12084690),Daryl Macon,12084690,PG/SG/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,1.38
SF/PF,Kostas Antetokounmpo (12084694),Kostas Antetokounmpo,12084694,SF/PF/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,0
PG/SG,Jordan Loyd (12084698),Jordan Loyd,12084698,PG/SG/G/UTIL,3000,WAS@TOR 02/13/2019 07:30PM ET,TOR,3.96
PG,John Wall (12084702),John Wall,12084702,PG/G/UTIL,3000,WAS@TOR 02/13/2019 07:30PM ET,WAS,42.58
SG,Devin Robinson (12084705),Devin Robinson,12084705,SG/G/UTIL,3000,WAS@TOR 02/13/2019 07:30PM ET,WAS,9.69
SG/SF,Troy Brown (12084708),Troy Brown,12084708,SG/SF/F/G/UTIL,3000,WAS@TOR 02/13/2019 07:30PM ET,WAS,6.2
PF,Malcolm Miller (12084751),Malcolm Miller,12084751,PF/F/UTIL,3000,WAS@TOR 02/13/2019 07:30PM ET,TOR,0
SG/SF,Jonathon Simmons (12084713),Jonathon Simmons,12084713,SG/SF/F/G/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,PHI,14.3
PG/SG,Shake Milton (12084718),Shake Milton,12084718,PG/SG/G/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,PHI,8.92
C,Justin Patton (12084722),Justin Patton,12084722,C/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,PHI,0
SG/SF,Haywood Highsmith (12084724),Haywood Highsmith,12084724,SG/SF/F/G/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,PHI,3.88
SG/SF,Zhaire Smith (12084729),Zhaire Smith,12084729,SG/SF/F/G/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,PHI,0
PF/C,Isaiah Hicks (12084734),Isaiah Hicks,12084734,PF/C/F/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,NY,2.5
SF/PF,Lance Thomas (12084738),Lance Thomas,12084738,SF/PF/F/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,NY,9.12
PG/SG,John Jenkins (12084742),John Jenkins,12084742,PG/SG/G/UTIL,3000,PHI@NY 02/13/2019 07:30PM ET,NY,3.75
